TABLE_NAME;PARSER_DATE;DATA_DATE;LOADER_DATE;LOADER_STATE;LOAD_DATE;LOADER_DATA_COUNT;LOADER_COUNT;HOURLY_STATE;SYSTEM_ID;DTYPE;DAILY_STATE;ORG_TABLE
CELLSTS_4G;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:32;2;07.12.2025 02:39;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:41;2;07.12.2025 02:41;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:40;2;07.12.2025 02:40;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:44;2;07.12.2025 02:50;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:39;2;07.12.2025 02:40;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:40;2;07.12.2025 02:40;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:41;2;07.12.2025 02:41;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:41;2;07.12.2025 02:41;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:40;2;07.12.2025 02:40;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:41;2;07.12.2025 02:44;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:40;2;07.12.2025 02:40;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 02:29;07.12.2025 01:00;07.12.2025 02:40;2;07.12.2025 02:41;0;1;1;21;8;0;CELLSTS_4G
