TABLE_NAME;NOTE;ACTIVE;DATA_TYPE;REFRESH_PERIOD;DELETE_PERIOD;FROM_CLAUSE;WHERE_CLAUSE;DATA_LEVEL;PARENT_LEVEL;PARENT2_LEVEL;VENDOR_ID;PARTITION_ID;DATE_FIELD;NE_FIELD;LOAD_TYPE;DATE_AGGREGATE_TYPES;RAW_TABLE_COUNT
SGGSNI;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_GSNOVER_NO_OWNER A,NORTHI_DATA.LIST_SGSNE_GSN X;A.SGSN_NAME=X.SGSN_NAME AND A.MOID=X.GSN_NAME;PRIO;SGSN;NULL;16;69;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGGTP;NULL;1;15Mins;60;15;"NORTHI_PARSER.SGSN_GTP_GTP_U_IND A,
NORTHI_PARSER.SGSN_GTP_GTP_IND B,
NORTHI_DATA.LIST_SGSNE X";A.SGSN_NAME=B.SGSN_NAME AND A.DATA_DATE=B.DATA_DATE AND A.SGSN_NAME=X.SGSN_NAME;NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';2
SGHHO;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_MOBIL_MAN_HHO_G_IND A,NORTHI_DATA.LIST_SGSNE X;A.SGSN_NAME=X.SGSN_NAME;NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGICMPI;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_ICMP_ICMP A,NORTHI_DATA.LIST_SGSNE_ICMP X;A.SGSN_NAME=X.SGSN_NAME AND A.MOID=X.MOID;NET;SLOT;MAG;16;70;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGIPIFI;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_IPINTERFACE_IF A,NORTHI_DATA.LIST_SGSNE_IPIF X;A.SGSN_NAME=X.SGSN_NAME AND A.MOID=X.IPIF_NAME;IPIF;SGSN;NULL;16;71;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGIPI;NULL;1;15Mins;60;15;"(SELECT SGSN_NAME, DATA_DATE,
SUM(C00001) C00001,
SUM(C00002) C00002,
SUM(C00003) C00003,
SUM(C00004) C00004,
SUM(C00005) C00005,
SUM(C00006) C00006,
SUM(C00007) C00007,
SUM(C00008) C00008,
SUM(C00009) C00009,
SUM(C00010) C00010,
SUM(C00011) C00011,
SUM(C00012) C00012
FROM NORTHI_PARSER.SGSN_IP_IP A
WHERE DATA_DATE BETWEEN XDATA_DATE AND XDATA_DATE+0.8/24 
GROUP BY SGSN_NAME, DATA_DATE
) A, 

NORTHI_DATA.LIST_SGSNE_ICMP X";A.SGSN_NAME=X.SGSN_NAME;NET;SLOT;MAG;16;70;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGIRATHO;NULL;1;15Mins;60;15;"NORTHI_PARSER.SGSN_MOBIL_MAN_IRATHO_U_IND A,
NORTHI_PARSER.SGSN_MOBIL_MAN_IRATHO_G_IND B,
NORTHI_DATA.LIST_SGSNE X";"A.SGSN_NAME=B.SGSN_NAME AND A.DATA_DATE=B.DATA_DATE AND 
A.SGSN_NAME=X.SGSN_NAME";NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';2
SGISP;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_ISP_NO_OWNER_IND A,NORTHI_DATA.LIST_SGSNE X;A.SGSN_NAME=X.SGSN_NAME;NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
SGISYSC;NULL;1;15Mins;60;15;"NORTHI_PARSER.SGSN_WCDMA_GSN_SYS_ISYSC_IND A,
NORTHI_PARSER.SGSN_MOBIL_MAN_ISYSC_IND B,
NORTHI_DATA.LIST_SGSNE X";"A.SGSN_NAME=B.SGSN_NAME AND A.DATA_DATE=B.DATA_DATE AND
A.SGSN_NAME=X.SGSN_NAME";NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';2
SGLLC;NULL;1;15Mins;60;15;NORTHI_PARSER.SGSN_LLC_NO_OWNER_IND A,NORTHI_DATA.LIST_SGSNE X;A.SGSN_NAME=X.SGSN_NAME;NULL;NULL;NULL;16;66;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
