FUNCTIONSUBSET_ID;TABLE_NAME;TABLE_TYPE;NETWORK_ID_TYPE;IS_ACTIVE;ACTIVATION_DATE;DESCRIPTION;SYSTEM_TYPE;NE_TYPE;TIME_PERIOD;MEAS_TYPE;OPERATOR_NAME;FUNCTIONSUBSETNAME;VENDOR_ID;SYSTEM_ID
1526726660;HW4G_E_RAB_RELEASE_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726722;HW4G_PACKET_PROC_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726708;HW4G_OUT_HAND_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726706;HW4G_INTER_RAT_OUT_HAND_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726662;HW4G_CELL_ALGO_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726695;HW4G_S1_L_MEAS;MEASOBJLDN;VARCHAR2;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726898;HW4G_EMTC_PRB_MEASUREMENT;CELL;NUMBER;1;27.03.2023 12:01;eMTC PRB Measurement;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726700;HW4G_CQI_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726664;HW4G_THROUGHPUT_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726705;HW4G_USER_NMB_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726702;HW4G_PRB_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726659;HW4G_E_RAB_SETUP_MEAS;CELL;NUMBER;1;09.10.2015 14:35;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1593835531;HW4G_BBU_BOARD_LOAD_MEAS;BOARD;NUMBER;1;28.03.2016 16:19;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726709;HW4G_INCOMING_HAND_MEAS;CELL;NUMBER;1;28.03.2016 16:19;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726694;HW4G_RA_MEAS;CELL;NUMBER;1;05.05.2016 14:12;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
1526726721;HW4G_E_RAB_SET_MEAS_PR_CNOPRT;CELL;NUMBER;1;19.05.2016 17:05;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726723;HW4G_E_RAB_RELEASE_MEAS_PR_CNO;CELL;NUMBER;1;19.05.2016 17:05;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726801;HW4G_VOICE_QUALTY_MEAS_PR_CNO;CELL;NUMBER;0;19.05.2016 17:05;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726802;HW4G_PACK_MEAS_PR_CNOPRTR;CELL;NUMBER;1;19.05.2016 17:06;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726803;HW4G_PDCP_MEAS_PR_CNOPRTR;CELL;NUMBER;1;19.05.2016 17:06;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726719;HW4G_THROUGHPUT_DATA_VOL_MEAS;CELL;NUMBER;1;19.05.2016 17:05;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726720;HW4G_CELL_USR_QUANTITY_MEAS;CELL;NUMBER;1;19.05.2016 17:05;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;NULL
1526726756;HW4G_CELL_TO_GERAN_HO_MEAS;NCELL;NUMBER;1;11.01.2017 00:00;NULL;HW4G;ENODEB;60;PM;VODAFONE;NULL;6;21
50331654;M2_NODEB_HRDWR_BSBND_RES_MEAS;NODEB;NUMBER;1;NULL;NULL;HW4G;RNC;60;PM;VODAFONE;NULL;4;NULL
