FILE_NAME;TABLE_NAME;DATA_DATE;PARSER_DATE;PARSER_STATE;LOADER_STATE;LOADED_DATA_COUNT;FILE_RECORD_COUNT;PDAILY_STATE;SYSTEM_TYPE;PARSED_COUNT;MEAS_TYPE;OPERATOR_NAME;LOG_ID
HW4G_AI_GRID_MODEL_MEAS.unl;HW4G_AI_GRID_MODEL_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;0;295.125;295.125;0;HW4G;3;PM;VODAFONE;509.394.146
HW4G_AI_STATISTICS_MEASUREMENT.unl;HW4G_AI_STATISTICS_MEASUREMENT;07.12.2025 12:00;07.12.2025 15:29;1;1;295.125;295.125;0;HW4G;3;PM;VODAFONE;509.394.170
HW4G_BTS_BOARD_EQUIPMENT_PERF.unl;HW4G_BTS_BOARD_EQUIPMENT_PERF;07.12.2025 12:00;07.12.2025 15:29;1;1;203.692;203.692;0;HW4G;3;PM;VODAFONE;509.394.218
HW4G_CA_CELL_MAC_MEASUREMNT.unl;HW4G_CA_CELL_MAC_MEASUREMNT;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.242
HW4G_CA_MEASUREMENT.unl;HW4G_CA_MEASUREMENT;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.266
HW4G_CELL_ALGO_MEAS.unl;HW4G_CELL_ALGO_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.290
HW4G_CELL_EMERGENCY_CALL_MEAS.unl;HW4G_CELL_EMERGENCY_CALL_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.314
HW4G_CELL_TO_GERAN_HO_MEAS.unl;HW4G_CELL_TO_GERAN_HO_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;9.383.319;9.383.319;0;HW4G;3;PM;VODAFONE;509.394.338
HW4G_CELL_TO_LTE_INC_HO_MEAS.unl;HW4G_CELL_TO_LTE_INC_HO_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;15.402.936;15.402.936;0;HW4G;3;PM;VODAFONE;509.394.362
HW4G_CELL_TO_LTE_OUT_HO_MEAS.unl;HW4G_CELL_TO_LTE_OUT_HO_MEAS;07.12.2025 12:00;07.12.2025 15:30;1;1;15.402.936;15.402.936;0;HW4G;3;PM;VODAFONE;509.394.386
HW4G_CELL_TO_WCDMA_HO_MEAS.unl;HW4G_CELL_TO_WCDMA_HO_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;3.893.589;3.893.589;0;HW4G;3;PM;VODAFONE;509.394.410
HW4G_CHANNEL_QUALITY_MEAS.unl;HW4G_CHANNEL_QUALITY_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.458
HW4G_CHANNEL_QUA_MEAS1.unl;HW4G_CHANNEL_QUA_MEAS1;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.482
HW4G_CQI_MEAS.unl;HW4G_CQI_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.506
HW4G_EMTC_PRB_MEASUREMENT.unl;HW4G_EMTC_PRB_MEASUREMENT;07.12.2025 12:00;07.12.2025 15:29;1;1;296.259;296.259;0;HW4G;3;PM;VODAFONE;509.394.530
HW4G_EXTENDED_QCI_MEASUREMNT.unl;HW4G_EXTENDED_QCI_MEASUREMNT;07.12.2025 12:00;07.12.2025 15:29;1;1;296.259;296.259;0;HW4G;3;PM;VODAFONE;509.394.554
HW4G_E_RAB_MODIFY_MEAS.unl;HW4G_E_RAB_MODIFY_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.578
HW4G_E_RAB_RELEASE_MEAS.unl;HW4G_E_RAB_RELEASE_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.602
HW4G_E_RAB_SETUP_MEAS.unl;HW4G_E_RAB_SETUP_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.650
HW4G_INCOMING_HAND_MEAS.unl;HW4G_INCOMING_HAND_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.698
HW4G_INTER_RAT_OUT_HAND_MEAS.unl;HW4G_INTER_RAT_OUT_HAND_MEAS;07.12.2025 12:00;07.12.2025 15:29;1;1;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.722
HW4G_MAC_MEASUREMENT.unl;HW4G_MAC_MEASUREMENT;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.746
HW4G_MEAS_OF_CELL_PERFORMANCE.unl;HW4G_MEAS_OF_CELL_PERFORMANCE;07.12.2025 12:00;07.12.2025 15:29;1;1;295.125;295.125;0;HW4G;3;PM;VODAFONE;509.394.770
HW4G_MEAS_RELATED_CHANNEL_DFEE.unl;HW4G_MEAS_RELATED_CHANNEL_DFEE;07.12.2025 12:00;07.12.2025 15:29;1;1;296.259;296.259;0;HW4G;3;PM;VODAFONE;509.394.794
HW4G_MEAS_RELATED_TO_ALGO_LTE.unl;HW4G_MEAS_RELATED_TO_ALGO_LTE;07.12.2025 12:00;07.12.2025 15:29;1;0;296.259;296.259;0;HW4G;3;PM;VODAFONE;509.394.818
HW4G_MIMO_MEASUREMENT.unl;HW4G_MIMO_MEASUREMENT;07.12.2025 12:00;07.12.2025 15:29;1;0;296.261;296.261;0;HW4G;3;PM;VODAFONE;509.394.842
