PARTITION_ID;PARTITION_NUMBER;PARTITION_VALUE;DTYPE;PARTITION_TYPE;AUXILIARY_COLUMN;XINSERT2;PARTITION_STATUS
91;1;CELL;1;1;NULL;NULL;1
91;2;ENODEB;2;1;,MAIN_REGION_ID,SUB_REGION_ID,CITY_ID,ENODEB_ID NETWORK_ID,2 DTYPE!!DTYPE=1!MAIN_REGION_ID,SUB_REGION_ID,CITY_ID,ENODEB_ID!;NULL;1
91;3;NW;3;1;,-999 NETWORK_ID,3 DTYPE!!DTYPE=1!-999!;NULL;1
91;3;MAIN_REGION;4;1;,MAIN_REGION_ID NETWORK_ID,4 DTYPE!!DTYPE=1!MAIN_REGION_ID!;NULL;1
91;3;SUB_REGION;5;1;,MAIN_REGION_ID,SUB_REGION_ID NETWORK_ID,5 DTYPE!!DTYPE=2!MAIN_REGION_ID,SUB_REGION_ID!;NULL;1
91;3;CITY;6;1;,CITY_ID NETWORK_ID,6 DTYPE!!DTYPE=2!CITY_ID!;NULL;1
91;3;FBAND;7;1;,FBAND_ID NETWORK_ID,7 DTYPE!!DTYPE=1!FBAND_ID!;NULL;1
91;3;RBAND;8;1;,MAIN_REGION_ID,SUB_REGION_ID,FBAND_ID NETWORK_ID,8 DTYPE!!DTYPE=1!MAIN_REGION_ID,SUB_REGION_ID,FBAND_ID!;NULL;1
91;3;CBAND;9;1;,CITY_ID,FBAND_ID NETWORK_ID,9 DTYPE!!DTYPE=1!CITY_ID,FBAND_ID!;NULL;1
91;3;ILCE;10;1;,SUB_REGION_ID,CITY_ID,ILCE_ID NETWORK_ID,10 DTYPE!!DTYPE=1!SUB_REGION_ID,CITY_ID,ILCE_ID!;NULL;1
91;3;MAHALLE;11;1;,CITY_ID,ILCE_ID,MAHALLE_ID NETWORK_ID,11 DTYPE!!DTYPE=1!CITY_ID,ILCE_ID,MAHALLE_ID!;NULL;1
91;3;NFBAND;12;1;,ENODEB_ID,FBAND_ID NETWORK_ID,12 DTYPE!!DTYPE=1!ENODEB_ID,FBAND_ID!;NULL;1
91;3;SRCITY;13;1;,MAIN_REGION_ID,SUB_REGION_ID,CITY_ID NETWORK_ID,13 DTYPE!!DTYPE=1!MAIN_REGION_ID,SUB_REGION_ID,CITY_ID!;NULL;1
91;3;DFBAND;14;1;,CITY_ID,ILCE_ID,FBAND_ID NETWORK_ID,14 DTYPE!!DTYPE=1!CITY_ID,ILCE_ID,FBAND_ID!;NULL;1
