TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;VOLTE_CALLS;C1526726686+C1526726687+C1526741743;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.1+L.E-RAB.NormRel.QCI.1+L.E-RAB.NormRel.IRatHOOut.QCI.1;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_ABN_MME_EUTRANGEN;C1526729911;NUMBER;12;1;L.E-RAB.AbnormRel.MME.EUtranGen;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_CONN_REQ_SUCC_MO_SIG;C1526728225;NUMBER;12;1;L.RRC.ConnReq.Succ.MoSig;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_CONN_REQ_SUCC_DELAY_TOL;C1526728358;NUMBER;12;1;L.RRC.ConnReq.Succ.DelayTol;6;NULL;SUM;SUM
CELLSTS_4G;S1_SIGN_CONN_EST_ATT;C1526728272;NUMBER;12;1;L.S1Sig.ConnEst.Att;6;NULL;SUM;SUM
CELLSTS_4G;S1_SIGN_CONN_EST_SUCC;C1526728273;NUMBER;12;1;L.S1Sig.ConnEst.Succ;6;NULL;SUM;SUM
CELLSTS_4G;DL_PCKT_LOSS_R_DEN;C1526727935+C1526727938+C1526727941+C1526727944+C1526727947+C1526727950+C1526727953+C1526727956+C1526727959;NUMBER;12;1;L.Traffic.DL.PktUuLoss.Tot.QCI.1+L.Traffic.DL.PktUuLoss.Tot.QCI.2+L.Traffic.DL.PktUuLoss.Tot.QCI.3+L.Traffic.DL.PktUuLoss.Tot.QCI.4+L.Traffic.DL.PktUuLoss.Tot.QCI.5+L.Traffic.DL.PktUuLoss.Tot.QCI.6+L.Traffic.DL.PktUuLoss.Tot.QCI.7+L.Traffic.DL.PktUuLoss.Tot.QCI.8+L.Traffic.DL.PktUuLoss.Tot.QCI.9;6;%;SUM;SUM
CELLSTS_4G;UL_PCKT_LOSS_R_NUM;C1526727961+C1526727964+C1526727967+C1526727970+C1526727973+C1526727976+C1526727979+C1526727982+C1526727985;NUMBER;12;1;L.Traffic.UL.PktLoss.Loss.QCI.1+L.Traffic.UL.PktLoss.Loss.QCI.2+L.Traffic.UL.PktLoss.Loss.QCI.3+L.Traffic.UL.PktLoss.Loss.QCI.4+L.Traffic.UL.PktLoss.Loss.QCI.5+L.Traffic.UL.PktLoss.Loss.QCI.6+L.Traffic.UL.PktLoss.Loss.QCI.7+L.Traffic.UL.PktLoss.Loss.QCI.8+L.Traffic.UL.PktLoss.Loss.QCI.9;6;%;SUM;SUM
CELLSTS_4G;UL_PCKT_LOSS_R_DEN;C1526727962+C1526727965+C1526727968+C1526727971+C1526727974+C1526727977+C1526727980+C1526727983+C1526727986;NUMBER;12;1;L.Traffic.UL.PktLoss.Tot.QCI.1+L.Traffic.UL.PktLoss.Tot.QCI.2+L.Traffic.UL.PktLoss.Tot.QCI.3+L.Traffic.UL.PktLoss.Tot.QCI.4+L.Traffic.UL.PktLoss.Tot.QCI.5+L.Traffic.UL.PktLoss.Tot.QCI.6+L.Traffic.UL.PktLoss.Tot.QCI.7+L.Traffic.UL.PktLoss.Tot.QCI.8+L.Traffic.UL.PktLoss.Tot.QCI.9;6;%;SUM;SUM
CELLSTS_4G;END_SERV_EST_R1_NUM;C1526728222+C1526728223+C1526728224+C1526728226+C1526728358;NUMBER;12;1;L.RRC.ConnReq.Succ.Emc + L.RRC.ConnReq.Succ.HighPri + L.RRC.ConnReq.Succ.Mt + L.RRC.ConnReq.Succ.MoData + L.RRC.ConnReq.Succ.DelayTol;6;%;SUM;SUM
